iter	Passed	Remaining
639	3182	1790
640	3187	1784
641	3190	1779
642	3194	1773
643	3198	1768
644	3203	1763
645	3208	1758
646	3212	1752
647	3216	1747
648	3220	1741
649	3224	1736
650	3227	1730
651	3232	1725
652	3237	1720
653	3241	1714
654	3244	1709
655	3252	1705
656	3258	1700
657	3263	1696
658	3267	1691
659	3272	1686
660	3278	1681
661	3284	1676
662	3289	1672
663	3294	1666
664	3297	1661
665	3300	1655
666	3304	1649
667	3308	1644
668	3312	1638
669	3316	1633
670	3320	1628
671	3325	1623
672	3328	1617
673	3332	1611
674	3338	1607
675	3343	1602
676	3347	1597
677	3351	1591
678	3356	1586
679	3365	1583
680	3371	1579
681	3375	1574
682	3378	1568
683	3381	1562
684	3387	1557
685	3390	1551
686	3395	1547
687	3400	1542
688	3405	1536
689	3410	1532
690	3414	1527
691	3419	1521
692	3423	1516
693	3427	1511
694	3431	1506
695	3435	1500
696	3440	1495
697	3445	1490
698	3448	1485
699	3452	1479
700	3455	1473
701	3459	1468
702	3462	1462
703	3466	1457
704	3472	1452
705	3475	1447
706	3481	1442
707	3485	1437
708	3489	1432
709	3493	1426
710	3497	1421
711	3501	1416
712	3504	1410
713	3509	1405
714	3513	1400
715	3517	1395
716	3521	1389
717	3526	1385
718	3532	1380
719	3538	1375
720	3542	1370
721	3546	1365
722	3551	1360
723	3555	1355
724	3559	1350
725	3563	1344
726	3568	1340
727	3573	1335
728	3577	1329
729	3581	1324
730	3585	1319
731	3588	1313
732	3593	1309
733	3597	1303
734	3601	1298
735	3604	1293
736	3611	1288
737	3614	1283
738	3617	1277
739	3624	1273
740	3628	1268
741	3632	1263
742	3636	1257
743	3640	1252
744	3643	1247
745	3647	1241
746	3651	1236
747	3656	1232
748	3661	1226
749	3665	1221
750	3669	1216
751	3675	1212
752	3679	1206
753	3682	1201
754	3686	1196
755	3690	1191
756	3695	1186
757	3699	1181
758	3703	1176
759	3707	1170
760	3712	1165
761	3716	1160
762	3722	1156
763	3728	1151
764	3732	1146
765	3737	1141
766	3743	1137
767	3747	1132
768	3752	1127
769	3757	1122
770	3760	1116
771	3763	1111
772	3768	1106
773	3773	1101
774	3778	1096
775	3782	1091
776	3787	1086
777	3790	1081
778	3793	1076
779	3798	1071
780	3803	1066
781	3809	1061
782	3815	1057
783	3818	1052
784	3823	1047
785	3827	1042
786	3832	1037
787	3836	1032
788	3840	1027
789	3845	1022
790	3849	1017
791	3854	1012
792	3858	1007
793	3863	1002
794	3867	997
795	3872	992
796	3876	987
797	3880	982
798	3884	977
799	3888	972
800	3892	966
801	3895	961
802	3899	956
803	3904	951
804	3908	946
805	3912	941
806	3915	936
807	3920	931
808	3925	926
809	3929	921
810	3933	916
811	3937	911
812	3940	906
813	3945	901
814	3950	896
815	3956	892
816	3960	887
817	3965	882
818	3968	877
819	3973	872
820	3978	867
821	3981	862
822	3984	857
823	3988	851
824	3992	846
825	3995	841
826	4000	836
827	4005	832
828	4009	826
829	4013	822
830	4018	817
831	4021	811
832	4024	806
833	4029	802
834	4033	797
835	4038	792
836	4041	787
837	4045	782
838	4050	777
839	4055	772
840	4060	767
841	4063	762
842	4069	757
843	4073	752
844	4077	747
845	4081	742
846	4085	738
847	4089	733
848	4094	728
849	4098	723
850	4102	718
851	4106	713
852	4110	708
853	4115	703
854	4120	698
855	4124	693
856	4129	689
857	4134	684
858	4137	679
859	4141	674
860	4144	669
861	4147	664
862	4151	658
863	4154	653
864	4158	648
865	4162	644
866	4165	639
867	4171	634
868	4175	629
869	4179	624
870	4183	619
871	4187	614
872	4193	609
873	4196	604
874	4200	600
875	4205	595
876	4209	590
877	4213	585
878	4219	580
879	4223	575
880	4227	570
881	4232	566
882	4237	561
883	4242	556
884	4249	552
885	4255	547
886	4260	542
887	4264	537
888	4270	533
889	4275	528
890	4282	523
891	4287	519
892	4294	514
893	4298	509
894	4302	504
895	4308	500
896	4313	495
897	4317	490
898	4321	485
899	4324	480
900	4327	475
901	4330	470
902	4333	465
903	4337	460
904	4342	455
905	4348	451
906	4353	446
907	4357	441
908	4360	436
909	4364	431
910	4368	426
911	4372	421
912	4374	416
913	4377	411
914	4381	407
915	4386	402
916	4389	397
917	4392	392
918	4395	387
919	4398	382
920	4401	377
921	4405	372
922	4409	367
923	4412	362
924	4415	358
925	4419	353
926	4422	348
927	4426	343
928	4430	338
929	4433	333
930	4436	328
931	4439	323
932	4442	319
933	4446	314
934	4449	309
935	4452	304
936	4457	299
937	4460	294
938	4463	289
939	4467	285
940	4471	280
941	4475	275
942	4479	270
943	4483	265
944	4486	261
945	4490	256
946	4492	251
947	4496	246
948	4499	241
949	4503	237
950	4506	232
951	4509	227
952	4512	222
953	4516	217
954	4519	212
955	4522	208
956	4526	203
957	4530	198
958	4533	193
959	4537	189
960	4539	184
961	4543	179
962	4547	174
963	4550	169
964	4553	165
965	4556	160
966	4559	155
967	4562	150
968	4564	146
969	4567	141
970	4571	136
971	4573	131
972	4575	126
973	4578	122
974	4582	117
975	4591	112
976	4593	108
977	4595	103
978	4597	98
979	4600	93
980	4601	89
981	4604	84
982	4606	79
983	4608	74
984	4610	70
985	4612	65
986	4614	60
987	4616	56
988	4619	51
989	4621	46
990	4624	41
991	4626	37
992	4628	32
993	4630	27
994	4633	23
995	4635	18
996	4637	13
997	4639	9
998	4641	4
999	4643	0
0
